Season,Episode No.,Episode No. (Overall),Title,Airdate,Rating,Votes,Viewership,Duration,Michael Scott (Steve Carell),About
2,9,15,E-Mail Surveillance,2005-11-22,8.2,6274,8.1,23,True,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him."
2,10,16,Christmas Party,2005-12-06,8.7,6925,9.7,22,True,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff."
2,11,17,Booze Cruise,2006-01-05,8.5,6703,8.7,22,True,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk."
2,12,18,The Injury,2006-01-12,9.0,7942,10.3,22,True,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury."
2,13,19,The Secret,2006-01-19,8.1,5946,8.7,22,True,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff."
2,14,20,The Carpet,2006-01-26,7.6,5872,8.6,22,True,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.
2,15,21,Boys and Girls,2006-02-02,8.0,5860,5.42,22,True,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam."
2,16,22,Valentine's Day,2006-02-09,8.1,5863,8.95,22,True,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style."
2,17,23,Dwight's Speech,2006-03-02,8.3,6212,8.4,22,True,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.
2,18,24,Take Your Daughter to Work Day,2006-03-16,8.2,6078,8.8,21,True,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb."
2,19,25,Michael's Birthday,2006-03-30,8.0,5848,7.8,22,True,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating."
2,20,26,Drug Testing,2006-04-27,8.2,5935,7.8,22,True,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.
2,21,27,Conflict Resolution,2006-05-04,8.6,6093,7.4,22,True,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin."
2,22,28,Casino Night,2006-05-11,9.3,8649,7.6,29,True,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.
3,1,29,Gay Witch Hunt,2006-09-21,8.9,7861,9.11,23,True,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office."
3,2,30,The Convention,2006-09-28,8.0,5735,7.78,22,True,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement."
3,3,31,The Coup,2006-10-05,8.4,5991,8.89,22,True,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time."
3,4,32,Grief Counseling,2006-10-12,7.8,5735,8.83,22,True,Michael takes on the role of office grief counselor when he learns that his old boss has died.
3,5,33,Initiation,2006-10-19,7.9,5580,8.46,22,True,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.
3,6,34,Diwali,2006-11-02,7.7,5838,8.81,22,True,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game."
